uid;user_behavioral_profile;date;arrival_times;permanence_times;trajectory;sem_trajectory
1;0;01/09/17;[18, 18, 30];[6, 377, 9];[27, 19, 27];[7, 0, 7]
1;0;04/09/17;[14, 14, 22, 29];[2, 248, 219, 4];[24, 19, 54, 24];[7, 0, 3, 7]
1;0;05/09/17;[32, 32, 37, 43];[7, 145, 193, 7];[27, 19, 18, 27];[7, 0, 6, 7]
1;0;06/09/17;[16, 16, 16, 31, 32];[5, 7, 457, 20, 9];[27, 53, 19, 53, 27];[7, 4, 0, 4, 7]
1;0;07/09/17;[28, 28, 34];[10, 195, 6];[27, 19, 27];[7, 0, 7]
1;0;08/09/17;[18, 18, 20, 26, 33];[2, 84, 162, 204, 3];[27, 54, 54, 19, 27];[7, 3, 3, 0, 7]
1;0;11/09/17;[12, 12, 17, 19, 27];[8, 142, 82, 244, 2];[24, 19, 54, 19, 24];[7, 0, 3, 0, 7]
1;0;12/09/17;[32, 32, 35, 42];[9, 100, 200, 6];[27, 19, 18, 27];[7, 0, 6, 7]
1;0;13/09/17;[14, 14, 14, 17, 28, 28];[6, 8, 79, 327, 16, 8];[27, 53, 18, 19, 53, 27];[7, 4, 6, 0, 4, 7]
1;0;14/09/17;[30, 30, 37];[9, 213, 11];[27, 19, 27];[7, 0, 7]
1;0;15/09/17;[18, 18, 29];[7, 332, 5];[27, 19, 27];[7, 0, 7]
1;0;18/09/17;[14, 14, 18, 31];[8, 125, 404, 6];[24, 18, 19, 24];[7, 6, 0, 7]
1;0;19/09/17;[30, 30, 37];[10, 219, 5];[27, 19, 27];[7, 0, 7]
1;0;20/09/17;[12, 12, 12, 16, 21, 23, 24];[3, 12, 114, 148, 64, 19, 6];[27, 53, 18, 19, 25, 53, 27];[7, 4, 6, 0, 1, 4, 7]
1;0;21/09/17;[30, 30, 36];[6, 187, 8];[27, 19, 27];[7, 0, 7]
1;0;22/09/17;[18, 18, 24, 30];[6, 184, 171, 4];[27, 19, 42, 27];[7, 0, 5, 7]
1;0;25/09/17;[16, 16, 20, 33];[2, 137, 390, 7];[24, 18, 19, 24];[7, 6, 0, 7]
1;0;26/09/17;[32, 32, 34, 36, 38];[17, 65, 60, 64, 6];[27, 19, 18, 19, 27];[7, 0, 6, 0, 7]
1;0;27/09/17;[16, 16, 16, 29, 29];[8, 5, 394, 9, 9];[27, 53, 19, 53, 27];[7, 4, 0, 4, 7]
1;0;28/09/17;[30, 30, 42];[10, 368, 11];[27, 19, 27];[7, 0, 7]
1;0;29/09/17;[20, 20, 23, 32];[3, 88, 278, 7];[27, 54, 19, 27];[7, 3, 0, 7]
1;0;02/10/17;[10, 10, 23];[2, 409, 5];[24, 19, 24];[7, 0, 7]
1;0;03/10/17;[30, 30, 33, 35];[6, 113, 56, 5];[27, 19, 18, 27];[7, 0, 6, 7]
1;0;04/10/17;[12, 12, 12, 23, 24];[8, 10, 338, 18, 5];[27, 53, 19, 53, 27];[7, 4, 0, 4, 7]
1;0;05/10/17;[34, 34, 36, 40];[10, 72, 112, 6];[27, 54, 19, 27];[7, 3, 0, 7]
1;0;06/10/17;[18, 18, 23, 30];[5, 171, 191, 5];[27, 54, 19, 27];[7, 3, 0, 7]
1;0;08/10/17;[18, 18, 18, 29, 30];[12, 6, 331, 18, 9];[24, 13, 11, 13, 24];[7, 4, 5, 4, 7]
